run,peak_omega_tau,peak_omega_t,sigma,unit,label_reporting_only,status,catalog_entry,pred_omega_tau,pred_omega_t,pull_tau_sigma,pull_t_sigma
KA2D_synthetic_e8,0.16062865110546698,0.1593394756835435,0.01,THz,"F1(1,1)",matched,"F1(1,1)",0.15678,0.15678,0.38,0.26
KA2D_synthetic_e8,0.2620875514521996,0.25940993878574836,0.01,THz,"F1(2,2)",matched,"F1(2,2)",0.25368,0.25368,0.84,0.57
KA2D_synthetic_e8,0.31556865965204195,0.3200549817923949,0.01,THz,"F1(3,3)",matched,"F1(3,3)",0.31185,0.31185,0.37,0.82
KA2D_synthetic_e8,0.39129874780518115,0.38951415239517667,0.01,THz,"F1(4,4)",matched,"F1(4,4)",0.37704,0.37704,1.43,1.25
KA2D_synthetic_e8,0.4694885560557829,0.46668012487958754,0.01,THz,"F1(5,5)",matched,"F1(5,5)",0.4635,0.4635,0.6,0.32
KA2D_synthetic_e8,0.5118181010510997,0.5151411032605228,0.01,THz,"F1(6,6)",matched,"F1(6,6)",0.50458,0.50458,0.72,1.06
KA2D_synthetic_e8,0.24726028432678898,0.15890604168033728,0.01,THz,"F2(2,1)",matched,"F2(2,1)",0.25368,0.15678,-0.64,0.21
KA2D_synthetic_e8,0.5087049186275212,0.10398928159499282,0.01,THz,"F3(6,|6-7|)",matched,"F3(6,|6-7|)",0.50458,0.10549,0.41,-0.15
KA2D_synthetic_e8,0.47028593732053126,0.29075304566378646,0.01,THz,"F3(5,|5-8|)",matched,"F3(5,|5-8|)",0.4635,0.28646,0.68,0.43
KA2D_synthetic_e8,0.352,0.585,0.01,THz,contaminant_1,matched,"F2(4,7)",0.37704,0.61006,-2.5,-2.51
KA2D_synthetic_e8,0.44,0.205,0.01,THz,contaminant_2,matched,"F3(5,|5-2|)",0.4635,0.20982,-2.35,-0.48
NEG2D_localized_limit,1.6873615825611277,1.6873615825611277,0.05,meV,t1 P=1.687 Q=GS,matched,"F1(3,3)",1.66516,1.66516,0.44,0.44
NEG2D_localized_limit,1.6873615825611277,0.7926384174388723,0.05,meV,t1 P=1.687 Q=omega_sym_J,matched,"F3(3,|3-1|)",1.66516,0.828,0.44,-0.71
NEG2D_localized_limit,1.6873615825611277,3.2726384174388725,0.05,meV,t1 P=1.687 Q=eps_minus_plus_eps_plus,matched,"F2(3,7)",1.66516,3.25755,0.44,0.3
NEG2D_localized_limit,1.6873615825611277,4.857915252316618,0.05,meV,t1 P=1.687 Q=2eps_plus,unmatched,,,,,
NEG2D_localized_limit,1.6873615825611277,2.3018585808126684,0.05,meV,t1 P=1.687 Q=lambda_1,matched,"F3(3,|3-8|)",1.66516,2.33933,0.44,-0.75
NEG2D_localized_limit,1.6873615825611277,4.243418254065077,0.05,meV,t1 P=1.687 Q=lambda_5,unmatched,,,,,
NEG2D_localized_limit,3.2726384174388725,1.6873615825611277,0.05,meV,t2 R=3.273 Q=GS,matched,"F2(7,3)",3.25755,1.66516,0.3,0.44
NEG2D_localized_limit,3.2726384174388725,0.7926384174388723,0.05,meV,t2 R=3.273 Q=omega_sym_J,matched,"F3(7,|7-5|)",3.25755,0.78264,0.3,0.2
NEG2D_localized_limit,3.2726384174388725,3.2726384174388725,0.05,meV,t2 R=3.273 Q=eps_minus_plus_eps_plus,matched,"F1(7,7)",3.25755,3.25755,0.3,0.3
NEG2D_localized_limit,3.2726384174388725,4.857915252316618,0.05,meV,t2 R=3.273 Q=2eps_plus,unmatched,,,,,
NEG2D_localized_limit,3.2726384174388725,2.3018585808126684,0.05,meV,t2 R=3.273 Q=lambda_1,matched,"F3(7,|7-1|)",3.25755,2.42038,0.3,-2.37
NEG2D_localized_limit,3.2726384174388725,4.243418254065077,0.05,meV,t2 R=3.273 Q=lambda_5,unmatched,,,,,
NEG2D_localized_limit,3.2726384174388725,0.10208474768338283,0.05,meV,t1 P=3.273 Q=2eps_minus,unmatched,,,,,
NEG2D_localized_limit,1.6873615825611277,0.10208474768338283,0.05,meV,t2 R=1.687 Q=2eps_minus,unmatched,,,,,
NEG2D_localized_limit,3.2726384174388725,0.7165817459349233,0.05,meV,t1 P=3.273 Q=lambda_1,matched,"F3(7,|7-8|)",3.25755,0.74695,0.3,-0.61
NEG2D_localized_limit,1.6873615825611277,0.7165817459349233,0.05,meV,t2 R=1.687 Q=lambda_1,matched,"F3(3,|3-5|)",1.66516,0.80975,0.44,-1.86
NEG2D_localized_limit,3.2726384174388725,2.6581414191873316,0.05,meV,t1 P=3.273 Q=lambda_5,matched,"F2(7,6)",3.25755,2.69429,0.3,-0.72
NEG2D_localized_limit,1.6873615825611277,2.6581414191873316,0.05,meV,t2 R=1.687 Q=lambda_5,matched,"F2(3,6)",1.66516,2.69429,0.44,-0.72
