name,catalog,snr,m1,m2,mtot,mfinal,z
GW250120_042414,GWTC-5.0,8.7,,,,,
GW250119_190238,GWTC-5.0,21.3,11.54,9.95,21.64,20.56,0.07
GW250119_025138,GWTC-5.0,14.5,33.8,26.7,59.9,57.1,0.52
GW250118_170523,GWTC-5.0,13.9,38.1,29.6,67.8,64.4,0.35
GW250118_055802,GWTC-5.0,10.5,10.3,6.9,17.5,16.6,0.19
GW250118_023225,GWTC-5.0,9.0,44.0,31.0,74.0,71.0,0.88
GW250116_051426,GWTC-5.0,7.9,,,,,
GW250116_015318,GWTC-5.0,8.0,34.2,21.3,56.0,53.0,0.8
GW250114_082203,GWTC-5.0,78.6,33.76,32.26,66.0,62.9,0.09
GW250109_083206,GWTC-5.0,10.5,,,,,
GW250109_074552,GWTC-5.0,10.7,39.0,30.2,69.2,65.9,0.41
GW250109_010541,GWTC-5.0,13.1,37.5,27.4,64.9,62.2,0.56
GW250108_152221,GWTC-5.0,11.8,54.0,36.0,90.0,86.0,0.63
GW250105_134047,GWTC-5.0,8.7,,,,,
GW250104_015122,GWTC-5.0,12.1,45.8,34.5,80.0,76.0,0.76
GW250101_011205,GWTC-5.0,9.8,30.0,21.1,50.8,48.7,0.54
GW241231_054133,GWTC-5.0,17.4,12.4,7.1,19.6,18.7,0.18
GW241230_233618,GWTC-5.0,12.2,68.0,49.0,116.0,112.0,0.47
GW241230_084504,GWTC-5.0,11.1,42.4,33.5,75.6,72.4,0.5
GW241229_155844,GWTC-5.0,8.7,52.0,33.0,85.0,82.0,1.0
GW241225_082815,GWTC-5.0,19.5,55.7,42.2,98.0,94.0,0.34
GW241225_042553,GWTC-5.0,16.5,12.4,8.1,20.6,19.6,0.14
GW241220_062146,GWTC-5.0,7.9,,,,,
GW241219_222607,GWTC-5.0,8.7,,,,,
GW241210_120900,GWTC-5.0,9.0,40.0,23.6,64.0,62.0,0.59
GW241210_060606,GWTC-5.0,13.4,29.0,21.4,50.2,47.9,0.45
GW241210_023335,GWTC-5.0,7.8,,,,,
GW241201_142737,GWTC-5.0,7.5,,,,,
GW241201_055758,GWTC-5.0,9.0,47.0,33.0,80.0,76.0,1.03
GW241130_110422,GWTC-5.0,10.3,11.1,6.5,17.8,17.0,0.25
GW241130_034908,GWTC-5.0,13.8,29.9,24.3,54.2,51.6,0.36
GW241129_140416,GWTC-5.0,8.2,,,,,
GW241129_021832,GWTC-5.0,16.7,30.4,23.0,53.3,50.6,0.45
GW241127_061008,GWTC-5.0,31.3,63.8,20.8,85.3,83.0,0.21
GW241125_010116,GWTC-5.0,11.0,60.0,47.0,106.0,101.0,0.74
GW241124_024914,GWTC-5.0,8.7,42.0,26.0,70.0,67.0,0.72
GW241116_151753,GWTC-5.0,10.5,70.0,24.0,99.0,95.0,0.87
GW241114_235258,GWTC-5.0,12.4,11.3,7.7,19.1,18.2,0.16
GW241114_024711,GWTC-5.0,11.3,47.0,25.0,71.9,68.9,0.45
GW241113_163507,GWTC-5.0,12.5,19.3,14.4,33.9,31.7,0.26
GW241111_111552,GWTC-5.0,16.3,25.3,20.5,45.4,43.2,0.29
GW241110_124123,GWTC-5.0,10.2,16.4,8.0,24.5,23.7,0.15
GW241109_115924,GWTC-5.0,11.9,7.3,5.14,12.51,11.94,0.12
GW241109_033317,GWTC-5.0,11.3,42.4,31.7,74.0,70.0,0.46
GW241109_005349,GWTC-5.0,10.5,,,,,
GW241106_110932,GWTC-5.0,9.2,,,,,
GW241102_144729,GWTC-5.0,12.7,44.4,31.0,75.1,72.0,0.57
GW241102_124058,GWTC-5.0,21.7,10.9,8.0,19.01,18.1,0.08
GW241101_220523,GWTC-5.0,10.6,41.0,19.3,60.2,57.7,0.39
GW241101_034726,GWTC-5.0,8.2,,,,,
GW241018_235402,GWTC-5.0,9.6,,,,,
GW241011_233834,GWTC-5.0,35.8,19.5,5.96,25.5,24.4,0.05
GW241009_220455,GWTC-5.0,10.0,33.2,25.5,58.9,56.0,0.5
GW241009_084816,GWTC-5.0,12.1,12.7,8.1,21.0,20.1,0.22
GW241009_022835,GWTC-5.0,8.4,37.1,26.8,64.0,61.0,0.85
GW241007_082943,GWTC-5.0,9.8,36.6,26.6,63.2,60.1,0.65
GW241006_015333,GWTC-5.0,17.6,24.6,20.3,44.9,42.7,0.34
GW241002_030559,GWTC-5.0,11.9,37.3,29.9,67.2,64.2,0.28
GW240930_234614,GWTC-5.0,11.3,35.8,21.9,58.0,55.5,0.6
GW240930_123408,GWTC-5.0,8.3,,,,,
GW240930_035959,GWTC-5.0,16.1,25.5,11.2,36.8,35.5,0.19
GW240925_005809,GWTC-5.0,31.2,9.02,6.99,16.07,15.32,0.08
GW240925_000956,GWTC-5.0,8.5,,,,,
