BatchStart
|obsid         |prnb |status           |pi_lname    |pi_fname|target_name |ra        |dec      |time                 |duration|exposure|_Search_Offset      |
+--------------+-----+-----------------+------------+--------+------------+----------+---------+---------------------+--------+--------+--------------------+
|              |40111|accepted         |KUULKERS    |ERIK    |GRO J1655-40|16 54 00.1|-39 50 45|                     |        |        |0.009 (GRO J1655-40)|
|              |80054|accepted         |BAILYN      |CHARLES |GRO J1655-40|16 54 00.0|-39 50 44|                     |        |        |0.030 (GRO J1655-40)|
|              |40118|accepted         |BAILYN      |CHARLES |GRO J1655-40|16 54 00.0|-39 50 45|                     |        |        |0.028 (GRO J1655-40)|
|              |90017|accepted         |BAILYN      |CHARLES |GRO J1655-40|16 54 00.0|-39 50 44|                     |        |        |0.030 (GRO J1655-40)|
|              |90017|accepted         |BAILYN      |CHARLES |GRO J!655-40|16 54 00.0|-39 50 44|                     |        |        |0.030 (GRO J1655-40)|
|              |60051|accepted         |BAILYN      |CHARLES |GRO J1655-40|16 54 00.0|-39 50 44|                     |        |        |0.029 (GRO J1655-40)|
|              |60701|accepted         |MORGAN      |EDWARD  |GROJ1655-40 |16 54 00.0|-39 50 45|                     |        |        |0.027 (GRO J1655-40)|
|              |30184|accepted         |ROBINSON    |CRAIG   |GRO J1655-40|16 54 00.0|-39 50 46|                     |        |        |0.031 (GRO J1655-40)|
|              |30175|accepted         |BAILYN      |CHARLES |GRO J1655-40|16 54 00.0|-39 50 46|                     |        |        |0.031 (GRO J1655-40)|
|              |30703|accepted         |MORGAN      |WINDSOR |GROJ1655-40 |16 54 00.0|-39 50 46|                     |        |        |0.031 (GRO J1655-40)|
|91702-01-56-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-05-16 06:38:05.3|   16170|        |0.024 (GRO J1655-40)|
|              |50703|accepted         |MORGAN      |EDWARD  |GROJ1655-40 |16 54 00.0|-39 50 45|                     |        |        |0.027 (GRO J1655-40)|
|              |40703|accepted         |MORGAN      |WINDSOR |GROJ1655-40 |16 54 00.0|-39 50 45|                     |        |        |0.027 (GRO J1655-40)|
|              |70108|accepted         |REMILLARD   |RONALD  |GRO J1655-40|16 54 00.0|-39 50 45|                     |        |        |0.027 (GRO J1655-40)|
|91702-01-57-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-05-17 04:35:41.3|   21954|        |0.024 (GRO J1655-40)|
|91702-01-01-11|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-07-07 00:09:33.7|    8760|        |0.024 (GRO J1655-40)|
|91702-01-08-01|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-03-20 11:02:51.6|    3316|        |0.024 (GRO J1655-40)|
|              |96324|accepted         |ALTAMIRANO  |DIEGO   |GRO J1655-40|16 54 00.1|-39 50 45|                     |        |        |0.003 (GRO J1655-40)|
|91702-01-18-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-03-31 09:15:07.2|    4320|        |0.024 (GRO J1655-40)|
|              |95360|accepted         |SHAPOSHNIKOV|NIKOLAI |GRO J1655-40|16 54 00.1|-39 50 45|                     |        |        |0.008 (GRO J1655-40)|
|91702-01-02-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-03-11 16:15:06.6|    8079|        |0.024 (GRO J1655-40)|
|              |94330|accepted         |SHAPOSHNIKOV|NIKOLAI |GRO J1655-40|16 54 00.1|-39 50 45|                     |        |        |0.008 (GRO J1655-40)|
