BatchStart
|obsid         |prnb |status          |pi_lname    |pi_fname|target_name  |ra        |dec      |time                 |duration|exposure|_Search_Offset                |
+--------------+-----+----------------+------------+--------+-------------+----------+---------+---------------------+--------+--------+------------------------------+
|80138-01-04-00|80138|archived        |SWANK       |JEAN    |XTE_J1746-319|17 46 15.6|-32 13 59|2003-04-06 16:54:48.7|    5536|        | 0.037 (17 46 15.6, -32 14 01)|
|92047-03-06-00|92047|scheduled (long)|KLEIN-WOLT  |MARC    |EXO J1742-326|17 45 28.6|-32 41 38|           2008-10-31|        |        |29.352 (17 46 15.6, -32 14 01)|
|80146-01-93-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-07-10 03:18:51.8|    2720|        | 0.037 (17 46 15.6, -32 14 01)|
|80138-01-03-00|80138|archived        |SWANK       |JEAN    |XTE_J1746-319|17 46 28.1|-31 55 08|2003-04-04 17:35:09.6|    6357|        |19.061 (17 46 15.6, -32 14 01)|
|80138-01-02-00|80138|archived        |SWANK       |JEAN    |XTE_J1746-319|17 46 28.1|-31 55 08|2003-03-31 18:55:07.4|    3944|        |19.061 (17 46 15.6, -32 14 01)|
|80135-02-01-00|80135|archived        |MILLER      |JON     |XTE_J1746-319|17 46 28.1|-31 55 08|  2003-05-01 16:52:08|     421|        |19.061 (17 46 15.6, -32 14 01)|
|              |94331|accepted        |SHAPOSHNIKOV|NIKOLAI |H 1743-322   |17 46 15.6|-32 14 01|                     |        |        | 0.007 (17 46 15.6, -32 14 01)|
|              |94330|accepted        |SHAPOSHNIKOV|NIKOLAI |H 1743-322   |17 46 15.6|-32 14 01|                     |        |        | 0.007 (17 46 15.6, -32 14 01)|
|80146-01-93-01|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-07-10 04:50:10.5|    2760|        | 0.037 (17 46 15.6, -32 14 01)|
|80138-01-05-00|80138|archived        |SWANK       |JEAN    |XTE_J1746-319|17 46 15.6|-32 13 59|2003-04-08 13:05:49.3|    5478|        | 0.037 (17 46 15.6, -32 14 01)|
|80135-02-01-01|80135|archived        |MILLER      |JON     |XTE_J1746-319|17 46 15.6|-32 13 59|2003-05-01 16:59:08.7|   25248|        | 0.037 (17 46 15.6, -32 14 01)|
|80146-01-57-01|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-06-05 05:24:53.6|    4648|        | 0.037 (17 46 15.6, -32 14 01)|
|              |91112|accepted        |KALEMCI     |EMRAH   |H 1743-322   |17 45 01.9|-32 13 37|                     |        |        |15.587 (17 46 15.6, -32 14 01)|
|80135-02-02-00|80135|archived        |MILLER      |JON     |XTE_J1746-319|17 46 15.6|-32 13 59|2003-05-28 06:35:00.4|   37379|   23035| 0.037 (17 46 15.6, -32 14 01)|
|92047-03-01-01|92047|archived        |KLEIN-WOLT  |MARC    |EXO_J1742-326|17 45 28.6|-32 41 38|2007-01-16 16:38:59.1|   34017|   21659|29.351 (17 46 15.6, -32 14 01)|
|80146-01-06-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 28.1|-31 55 08|2003-04-21 15:49:19.2|   27106|   15980|19.061 (17 46 15.6, -32 14 01)|
|92047-03-04-00|92047|archived        |KLEIN-WOLT  |MARC    |EXO_J1742-326|17 45 28.6|-32 41 38|  2007-10-04 15:00:51|   21788|   14835|29.351 (17 46 15.6, -32 14 01)|
|80137-02-03-01|80137|archived        |TOMSICK     |JOHN    |XTE_J1746-319|17 46 15.6|-32 13 59|2003-11-16 05:18:14.4|   21791|   14608| 0.037 (17 46 15.6, -32 14 01)|
|80137-02-02-00|80137|archived        |TOMSICK     |JOHN    |XTE_J1746-319|17 46 15.6|-32 13 59|2003-11-10 04:19:16.3|   21183|   14245| 0.037 (17 46 15.6, -32 14 01)|
|80135-02-03-00|80135|archived        |MILLER      |JON     |XTE_J1746-319|17 46 15.6|-32 13 59|2003-06-23 16:50:32.1|   21566|   13732| 0.037 (17 46 15.6, -32 14 01)|
|92047-03-01-00|92047|archived        |KLEIN-WOLT  |MARC    |EXO_J1742-326|17 45 28.6|-32 41 38|2007-01-17 22:31:34.2|   19563|   12287|29.351 (17 46 15.6, -32 14 01)|
|80146-01-13-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 28.1|-31 55 08|2003-04-23 20:19:16.6|   19081|   11784|19.061 (17 46 15.6, -32 14 01)|
|80137-02-01-01|80137|archived        |TOMSICK     |JOHN    |XTE_J1746-319|17 46 15.6|-32 13 59|  2003-11-03 01:52:14|   17360|   10592| 0.037 (17 46 15.6, -32 14 01)|
|92047-03-02-00|92047|archived        |KLEIN-WOLT  |MARC    |EXO_J1742-326|17 45 28.6|-32 41 38|2007-02-23 14:25:27.3|   16085|   10384|29.351 (17 46 15.6, -32 14 01)|
|80137-02-01-02|80137|archived        |TOMSICK     |JOHN    |XTE_J1746-319|17 46 15.6|-32 13 59|2003-11-06 04:08:37.8|   16920|   10363| 0.037 (17 46 15.6, -32 14 01)|
|80137-02-01-00|80137|archived        |TOMSICK     |JOHN    |XTE_J1746-319|17 46 15.6|-32 13 59|2003-11-01 02:39:07.2|   17230|   10023| 0.037 (17 46 15.6, -32 14 01)|
|92047-03-02-10|92047|archived        |KLEIN-WOLT  |MARC    |EXO_J1742-326|17 45 28.6|-32 41 38|2007-04-16 14:03:09.8|   17168|   10000|29.351 (17 46 15.6, -32 14 01)|
|92047-03-02-20|92047|archived        |KLEIN-WOLT  |MARC    |EXO_J1742-326|17 45 28.6|-32 41 38|2007-03-24 21:00:03.5|   16384|    9833|29.351 (17 46 15.6, -32 14 01)|
|80137-02-02-02|80137|archived        |TOMSICK     |JOHN    |XTE_J1746-319|17 46 15.6|-32 13 59|2003-11-10 23:15:19.9|   17088|    8721| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-57-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-06-04 11:49:29.3|   12781|    7381| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-60-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-06-07 12:39:06.6|   11700|    7257| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-16-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 28.1|-31 55 08|2003-04-26 21:43:06.8|    9770|    7248|19.061 (17 46 15.6, -32 14 01)|
|80146-01-59-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-06-06 05:01:52.9|    9901|    7091| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-48-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-05-25 12:07:01.6|   12285|    7077| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-19-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 28.1|-31 55 08|2003-04-28 17:55:07.1|   10161|    7070|19.061 (17 46 15.6, -32 14 01)|
|80146-01-20-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 28.1|-31 55 08|2003-04-29 22:16:58.1|   11540|    7020|19.061 (17 46 15.6, -32 14 01)|
|80146-01-49-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-05-26 10:17:06.7|    9652|    7008| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-42-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-05-19 10:57:04.3|   11643|    6952| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-45-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-05-22 13:11:07.3|   11460|    6924| 0.037 (17 46 15.6, -32 14 01)|
|93427-01-03-03|93427|archived        |TOO         |PUBLIC  |H_1743-322   |17 46 16.8|-32 14 24|2008-01-29 04:26:23.1|   10173|    6910| 0.460 (17 46 15.6, -32 14 01)|
|80146-01-68-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-06-14 13:36:27.1|   11137|    6908| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-34-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-05-12 17:51:06.9|   11202|    6900| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-73-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-06-19 13:34:07.1|   11458|    6893| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-30-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|  2003-05-08 19:23:07|   10383|    6888| 0.037 (17 46 15.6, -32 14 01)|
|93427-01-03-02|93427|archived        |TOO         |PUBLIC  |H_1743-322   |17 46 16.8|-32 14 24|  2008-01-27 22:41:07|   10880|    6878| 0.460 (17 46 15.6, -32 14 01)|
|80146-01-41-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-05-18 14:31:06.8|   10978|    6864| 0.037 (17 46 15.6, -32 14 01)|
|93427-01-04-03|93427|archived        |TOO         |PUBLIC  |H_1743-322   |17 46 16.8|-32 14 24|2008-02-06 19:44:18.8|   11153|    6861| 0.460 (17 46 15.6, -32 14 01)|
|80146-01-39-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-05-16 13:25:52.9|   12014|    6854| 0.037 (17 46 15.6, -32 14 01)|
|90115-01-05-10|90115|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2004-11-02 03:26:24.6|   11796|    6846| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-27-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-05-05 20:21:57.3|   10426|    6818| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-37-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-05-14 15:50:06.7|   11528|    6817| 0.037 (17 46 15.6, -32 14 01)|
|93427-01-04-02|93427|archived        |TOO         |PUBLIC  |H_1743-322   |17 46 16.8|-32 14 24|2008-02-04 19:04:22.1|   11151|    6795| 0.460 (17 46 15.6, -32 14 01)|
|93427-01-04-01|93427|archived        |TOO         |PUBLIC  |H_1743-322   |17 46 16.8|-32 14 24|2008-02-01 20:24:21.6|   11209|    6795| 0.460 (17 46 15.6, -32 14 01)|
|93427-01-04-00|93427|archived        |TOO         |PUBLIC  |H_1743-322   |17 46 16.8|-32 14 24|2008-02-02 19:57:23.3|   11209|    6794| 0.460 (17 46 15.6, -32 14 01)|
|80146-01-91-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-07-08 07:08:58.6|   11649|    6781| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-72-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-06-18 13:45:38.3|   11874|    6764| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-38-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-05-15 12:19:42.8|   11425|    6753| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-47-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-05-24 10:56:57.4|    9664|    6753| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-40-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-05-17 14:49:56.9|   11410|    6742| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-36-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-05-13 16:09:57.3|   11350|    6734| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-50-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-05-27 06:49:02.8|   10864|    6653| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-67-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-06-13 12:10:37.6|   12090|    6587| 0.037 (17 46 15.6, -32 14 01)|
|96425-01-02-00|96425|archived        |TOO         |PUBLIC  |H_1743-322   |17 46 16.8|-32 14 24|2011-04-16 14:04:56.9|   11290|    6586| 0.460 (17 46 15.6, -32 14 01)|
|80146-01-24-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-05-03 16:17:09.3|   11398|    6582| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-09-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 28.1|-31 55 08|2003-04-22 05:38:34.4|    9244|    6468|19.061 (17 46 15.6, -32 14 01)|
|80146-01-63-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-06-10 11:31:24.1|   12223|    6310| 0.037 (17 46 15.6, -32 14 01)|
|95368-01-01-00|95368|archived        |REMILLARD   |RONALD  |H1743-322    |17 46 16.8|-32 14 24|2010-08-09 05:37:51.2|   10396|    6137| 0.460 (17 46 15.6, -32 14 01)|
|80146-01-54-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-06-01 13:37:06.8|   11599|    5897| 0.037 (17 46 15.6, -32 14 01)|
|80146-01-74-00|80146|archived        |MCCLINTOCK  |JEFFREY |XTE_J1746-319|17 46 15.6|-32 13 59|2003-06-20 11:34:27.3|   11625|    5764| 0.037 (17 46 15.6, -32 14 01)|
