BatchStart
|obsid         |prnb |status  |pi_lname    |pi_fname|target_name   |ra        |dec      |time                 |duration|exposure|_Search_Offset       |
+--------------+-----+--------+------------+--------+--------------+----------+---------+---------------------+--------+--------+---------------------+
|80135-01-02-20|80135|archived|MILLER      |JON     |XTE_1550-564  |15 50 59.0|-56 28 34|2003-04-01 12:16:10.3|    5715|        |0.059 (XTE J1550-564)|
|              |80054|accepted|BAILYN      |CHARLES |XTE 1550-564  |15 50 59.0|-56 28 35|                     |        |        |0.047 (XTE J1550-564)|
|40142-04-01-03|40142|archived|KASPI       |VICTORIA|SNR_G326.3-1.8|15 50 40.8|-56 27 36|1999-08-13 00:24:08.1|     240|        |2.657 (XTE J1550-564)|
|              |94331|accepted|SHAPOSHNIKOV|NIKOLAI |XTE J1550-564 |15 50 58.7|-56 28 36|                     |        |        |0.013 (XTE J1550-564)|
|              |92034|accepted|BAILYN      |CHARLES |XTE 1550-564  |15 50 59.0|-56 28 35|                     |        |        |0.047 (XTE J1550-564)|
|50427-01-01-01|50427|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|  2001-01-28 16:33:23|     436|        |2.657 (XTE J1550-564)|
|50427-01-01-06|50427|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|2001-01-28 17:00:24.8|    2626|        |2.657 (XTE J1550-564)|
|50137-02-03-01|50137|archived|CUI         |WEI     |XTE_J1550-564 |15 50 40.8|-56 27 36|2000-04-15 17:57:00.3|    3934|        |2.657 (XTE J1550-564)|
|60428-01-04-01|60428|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 59.0|-56 28 34|2002-01-17 07:37:51.7|    1621|        |0.059 (XTE J1550-564)|
|              |94330|accepted|SHAPOSHNIKOV|NIKOLAI |XTE J1550-564 |15 50 58.7|-56 28 36|                     |        |        |0.013 (XTE J1550-564)|
|              |95360|accepted|SHAPOSHNIKOV|NIKOLAI |XTE J1550-564 |15 50 58.7|-56 28 36|                     |        |        |0.013 (XTE J1550-564)|
|              |90109|accepted|CORBEL      |STEPHANE|XTE J1550-564 |15 50 58.7|-56 28 36|                     |        |        |0.013 (XTE J1550-564)|
|              |80142|accepted|SWANK       |JEAN    |XTE J1550-564 |15 50 58.9|-56 28 35|                     |        |        |0.033 (XTE J1550-564)|
|              |90111|accepted|SWANK       |JEAN    |XTE J1550-564 |15 50 58.9|-56 28 35|                     |        |        |0.033 (XTE J1550-564)|
|              |60051|accepted|BAILYN      |CHARLES |XTE J1550-564 |15 50 59.0|-56 28 35|                     |        |        |0.046 (XTE J1550-564)|
|              |91095|accepted|BAILYN      |CHARLES |XTE 1550-564  |15 50 59.0|-56 28 35|                     |        |        |0.047 (XTE J1550-564)|
|              |91095|accepted|BAILYN      |CHARLES |XTE 1550-564  |15 50 59.0|-56 28 35|                     |        |        |0.047 (XTE J1550-564)|
|              |93076|accepted|MAITRA      |DIPANKAR|XTE 1550-564  |15 50 59.0|-56 28 35|                     |        |        |0.047 (XTE J1550-564)|
|              |90017|accepted|BAILYN      |CHARLES |XTE 1550-564  |15 50 59.0|-56 28 35|                     |        |        |0.047 (XTE J1550-564)|
|              |90017|accepted|BAILYN      |CHARLES |XTE 1550-564  |15 50 59.0|-56 28 35|                     |        |        |0.047 (XTE J1550-564)|
|80135-01-04-02|80135|archived|MILLER      |JON     |XTE_J1550-564 |15 50 59.0|-56 28 34|2003-04-12 05:55:41.7|   24845|   17674|0.059 (XTE J1550-564)|
|80135-01-04-00|80135|archived|MILLER      |JON     |XTE_J1550-564 |15 50 59.0|-56 28 34|2003-04-11 05:37:07.1|   21459|   14911|0.059 (XTE J1550-564)|
|80135-01-02-00|80135|archived|MILLER      |JON     |XTE_1550-564  |15 50 59.0|-56 28 34|  2003-04-03 13:01:44|   21121|   14488|0.059 (XTE J1550-564)|
|80135-01-04-01|80135|archived|MILLER      |JON     |XTE_J1550-564 |15 50 59.0|-56 28 34|2003-04-11 11:53:46.8|   21540|   14063|0.059 (XTE J1550-564)|
|30191-01-07-00|30191|archived|MCCLINTOCK  |JEFFREY |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-09-21 19:06:21.3|   14629|   13512|2.657 (XTE J1550-564)|
|80135-01-03-00|80135|archived|MILLER      |JON     |XTE_J1550-564 |15 50 59.0|-56 28 34|2003-04-04 11:17:13.1|   15810|   10232|0.059 (XTE J1550-564)|
|30191-01-17-00|30191|archived|MCCLINTOCK  |JEFFREY |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-09-30 21:14:24.9|   16875|   10027|2.657 (XTE J1550-564)|
|30191-01-33-00|30191|archived|MCCLINTOCK  |JEFFREY |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-10-22 01:44:32.6|   17467|    9954|2.657 (XTE J1550-564)|
|30191-01-06-00|30191|archived|MCCLINTOCK  |JEFFREY |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-09-21 05:04:06.8|   17152|    9778|2.657 (XTE J1550-564)|
|40401-01-07-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-01-07 19:53:21.4|   15570|    8713|2.657 (XTE J1550-564)|
|30191-01-12-00|30191|archived|MCCLINTOCK  |JEFFREY |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-09-25 23:58:45.7|   12347|    7525|2.657 (XTE J1550-564)|
|30191-01-18-00|30191|archived|MCCLINTOCK  |JEFFREY |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-10-01 17:15:00.9|    7719|    7195|2.657 (XTE J1550-564)|
|40401-01-31-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-02-06 20:03:08.1|   11755|    7187|2.657 (XTE J1550-564)|
|30191-01-04-00|30191|archived|MCCLINTOCK  |JEFFREY |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-09-20 22:43:20.9|    8572|    7043|2.657 (XTE J1550-564)|
|40401-01-48-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-03-02 01:53:32.6|    9693|    5994|2.657 (XTE J1550-564)|
|40401-01-46-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-02-26 04:40:46.3|    9771|    5906|2.657 (XTE J1550-564)|
|30435-01-04-00|30435|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-11-28 11:08:47.6|    8412|    5662|2.657 (XTE J1550-564)|
|30435-01-05-00|30435|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-11-30 07:54:45.2|    8252|    5551|2.657 (XTE J1550-564)|
