obsid,mjd_mid,tspan_s,n_ph,f0,sigma_f,h_stat,z2_1,detected
0020180105,57945.65611835,0.0,64017,11.186163469,1.869e-06,30.1,11.4,True
0020180106,57946.51116356,66329.7,59455,11.186163779,1.104e-06,21.8,18.1,True
0020180107,57947.28534207,0.0,97289,11.186158606,1.199e-06,44.7,31.6,True
0020180102,57941.49092410,0.0,312515,11.186169756,5.254e-07,104.7,60.6,True
1020180101,57953.99726731,188.0,8507,,,10.0,5.4,False
0020180108,57948.31727204,22792.2,55092,,,9.8,9.8,False
0020180104,57943.31821756,0.0,390049,11.186167009,7.457e-07,137.9,65.2,True
0020180103,57942.43455727,0.0,456460,11.186167500,6.459e-07,83.1,44.0,True
1020180102,57954.69273942,68324.0,40223,11.186153536,2.172e-06,26.8,5.3,True
1020180103,57955.34950046,68018.1,70258,,,6.4,4.0,False
1020180105,57957.39200935,0.0,225165,11.186147028,7.776e-07,54.6,30.3,True
1020180104,57956.34252296,0.0,301045,11.186150354,6.548e-07,106.2,43.7,True
1020180111,57964.03583858,97.9,4674,,,2.1,2.1,False
1020180112,57968.73095563,254.0,11807,,,8.1,8.1,False
1020180113,57969.41368606,39356.3,30521,,,8.0,6.1,False
1020180108,57960.39216112,0.0,46849,11.186214175,7.212e-07,27.8,20.9,True
1020180109,57962.31111615,0.0,59046,11.186062707,1.105e-06,27.6,27.6,True
1020180114,57970.56048289,66860.9,24085,,,7.9,7.9,False
1020180106,57958.70057933,0.0,66096,11.186144631,9.715e-07,30.5,17.5,True
1020180115,57971.64303822,61352.0,42181,,,5.1,5.1,False
1020180107,57959.41644739,0.0,103736,11.186144062,2.310e-06,34.1,21.2,True
1020180110,57963.73309434,0.0,118851,11.186140540,9.448e-07,34.5,12.2,True
1020180116,57972.48642635,82814.8,111108,,,12.7,11.5,False
1020180122,57978.40151040,50419.4,20603,,,5.4,5.4,False
1020180123,57979.68075207,151.9,7720,,,6.6,6.6,False
1020180124,,,,,,,,False
1020180125,,,,,,,,False
1020180121,57977.49082989,0.0,132109,11.186123596,8.938e-07,46.2,38.8,True
1020180118,57974.29385489,0.0,202543,11.186126425,7.107e-07,89.1,48.4,True
1020180120,57976.59156029,0.0,165599,11.186125152,1.454e-06,28.9,18.6,True
1020180126,58042.44860954,0.0,74823,11.186041612,8.597e-06,57.3,21.9,True
1020180128,58049.51258177,11440.4,24077,11.186022701,7.181e-06,22.4,8.5,True
1020180117,57973.52190345,0.0,244919,11.186125579,6.401e-07,82.0,51.6,True
1020180119,57975.66266401,0.0,238948,11.186122944,8.752e-07,142.0,56.3,True
