mjd_mid,tspan_d,n_obs,n_det,n_ph,f0,sigma_f,z2_coh,z2_incoh_sum,coherent
57942.47749969,2.772,3,3,1159024,11.1861684235,1.057e-07,239.3,169.8,True
57946.94648147,3.024,4,3,275853,11.1861621814,1.886e-07,60.2,61.1,True
57957.02343558,5.552,7,5,815030,11.1861488016,8.592e-08,125.4,118.0,True
57960.39216112,0.840,1,1,46849,11.1862141839,7.217e-07,20.9,20.9,True
57963.28095738,1.937,3,2,182571,11.1861074371,7.181e-07,9.9,39.8,False
57973.08538667,5.986,7,2,667164,11.1861262724,1.243e-07,109.3,100.0,True
57976.51719056,4.448,5,3,564979,11.1861222631,2.011e-07,79.6,113.7,True
58042.44860954,0.075,1,1,74823,11.1860416156,8.611e-06,21.9,21.9,True
58046.69483902,0.278,1,1,84150,11.1860211926,3.072e-06,32.4,32.4,True
58051.94196406,4.387,5,4,413212,11.1860426931,5.490e-07,4.9,98.5,False
58100.60137680,6.373,7,1,206489,11.1860241264,1.741e-07,22.2,17.0,True
58107.31464595,5.070,6,1,181836,11.1860303296,2.585e-07,12.0,15.7,True
58118.95843363,5.658,6,4,461536,11.1859301949,9.551e-08,89.5,82.0,True
58122.27704879,2.447,3,3,243883,11.1859256142,1.935e-07,54.8,58.1,True
58126.33138426,1.039,2,0,39509,11.1859228366,8.650e-07,15.0,0.0,True
58168.49621011,5.105,6,4,370605,11.1858767550,1.932e-07,48.4,88.8,True
58174.81550448,4.575,5,4,566754,11.1858538978,2.187e-07,74.3,139.9,True
58185.87280507,0.449,1,1,24680,11.1857750480,6.556e-06,5.2,5.1,False
58188.92123083,3.722,4,2,229720,11.1858047692,7.626e-07,15.3,53.8,False
58192.45805397,1.805,3,2,144464,11.1858167462,5.409e-07,22.1,44.0,True
58202.38880016,0.906,2,1,63259,11.1858032478,8.704e-07,15.7,11.6,True
58253.43523160,0.518,1,1,102689,11.1857486507,1.121e-06,36.1,36.0,True
58272.78191721,0.394,1,1,72668,11.1856972973,1.579e-06,19.4,19.4,True
58305.93032225,3.611,4,3,433612,11.1856640902,6.239e-07,12.7,78.4,False
58310.35638297,0.712,1,1,97760,11.1856729504,9.969e-07,18.1,18.2,True
58314.97327220,5.155,6,4,489906,11.1856514575,6.241e-07,16.5,82.1,False
58321.55567186,3.804,4,4,690641,11.1856550644,4.145e-07,136.8,161.6,False
58327.17276565,3.998,5,4,889194,11.1856498905,8.580e-08,113.6,102.0,True
58330.69462025,0.259,1,1,68175,11.1856390880,4.563e-06,14.4,14.4,True
58339.31294946,6.137,7,3,1320252,11.1856332048,6.210e-08,124.7,54.6,True
58341.96468634,2.712,3,2,932562,11.1856298317,2.512e-07,61.9,66.5,True
58386.29141712,0.778,2,1,379164,11.1855702901,6.324e-07,49.9,32.9,True
58388.55922828,0.199,1,0,146930,11.1855795250,8.894e-06,12.9,0.0,True
58392.81058203,5.157,6,4,1116899,11.1855613959,1.188e-07,56.0,70.5,True
58402.92072718,1.806,2,1,174314,11.1855478402,5.032e-07,29.7,23.6,True
58411.56856084,0.077,1,1,99360,11.1855685006,7.604e-06,28.8,28.8,True
58414.82928371,0.787,2,2,140947,11.1855295905,6.295e-07,39.9,41.8,True
58422.46258869,0.267,1,1,103789,11.1855238045,3.014e-06,23.3,23.3,True
58435.07335344,4.117,5,5,563204,11.1855050032,1.320e-07,87.9,101.2,True
58438.36943588,0.397,1,1,159045,11.1855001176,1.429e-06,36.5,36.5,True
58461.78351637,5.732,7,4,740155,11.1854688139,9.182e-08,183.2,215.6,True
58464.23550655,0.597,1,1,212728,11.1854648383,7.371e-07,59.5,59.5,True
58466.78994442,1.031,2,1,275846,11.1854620521,7.492e-07,81.7,75.0,True
58470.78171910,0.140,1,1,226157,11.1854560222,9.147e-06,8.7,8.7,True
58474.96794336,0.324,2,2,127082,11.1854477297,2.390e-06,33.9,36.5,True
58480.98167475,4.257,5,2,138149,11.1854429426,1.233e-07,48.7,35.4,True
58489.70355920,1.816,3,3,515922,11.1854374894,6.677e-07,149.5,156.4,False
58492.35405505,0.394,1,0,59439,11.1854371314,2.157e-06,14.2,0.0,True
58520.06039440,3.144,5,3,716387,11.1854183824,1.222e-07,120.7,151.2,True
58528.15582707,0.959,2,1,304700,11.1854043795,5.833e-07,40.1,42.7,True
58531.61302834,0.452,1,1,111806,11.1853979354,3.727e-06,23.2,23.2,True
58535.34279841,0.453,1,1,68242,11.1853892128,2.724e-06,15.9,15.9,True
58537.25114157,0.072,1,1,37492,11.1853804129,9.746e-06,18.0,18.0,True
58539.20747102,0.456,2,1,127747,11.1853893119,1.769e-06,36.2,38.4,True
58542.85768221,4.516,6,5,1071085,11.1853874211,8.186e-08,188.4,204.7,True
58549.15697121,2.707,4,0,51563,11.1853791619,2.767e-07,18.4,0.0,True
58562.54151770,0.140,1,1,60944,11.1853618289,5.227e-06,45.2,45.2,True
58575.81950695,0.269,1,1,206616,11.1853413703,1.800e-06,67.3,67.3,True
58584.15974532,0.334,2,1,163176,11.1853295120,1.548e-06,41.6,35.8,True
