t_s,flux,flux_err
112.233,3.12589e-10,4.65982e-11
116.465,2.51242e-10,3.74532e-11
120.949,2.33228e-10,4.25816e-11
124.832,2.28074e-10,4.31888e-11
128.534,2.00487e-10,3.79647e-11
134.306,1.28747e-10,2.438e-11
139.855,1.70041e-10,3.10453e-11
144.798,1.71291e-10,3.24362e-11
150.201,1.6698e-10,3.16198e-11
173.961,1.14694e-10,2.22334e-11
188.436,2.78823e-10,4.85847e-11
198.177,4.45536e-10,8.00207e-11
206.819,3.86332e-10,6.45052e-11
217.142,3.16649e-10,5.79376e-11
227.322,3.37159e-10,5.96624e-11
238.279,2.53132e-10,4.62655e-11
250.524,1.69201e-10,3.8082e-11
262.439,2.11735e-10,4.74225e-11
275.421,1.43713e-10,2.94549e-11
298.354,9.20716e-11,1.97758e-11
323.982,7.35436e-11,1.62243e-11
385.152,2.39792e-11,4.93483e-12
3811.74,2.03024e-12,5.31632e-13
3984.52,2.59299e-12,6.75167e-13
4203.74,1.75094e-12,4.45119e-13
4511,1.87662e-12,4.89556e-13
4850.88,1.38163e-12,3.62818e-13
5121.23,1.89302e-12,4.94301e-13
5390.05,2.1211e-12,5.36837e-13
5711,1.35068e-12,3.55027e-13
6071.52,1.67258e-12,3.88574e-13
9819.72,7.05811e-13,1.86082e-13
10784.6,6.23396e-13,1.43237e-13
16126.6,4.70042e-13,9.94504e-14
22079.7,3.26637e-13,7.50222e-14
31172.4,1.91663e-13,4.08522e-14
42098.3,1.85721e-13,4.11571e-14
