t_s,flux,flux_err
133.989,3.23547e-09,4.77086e-10
134.63,2.58436e-09,3.85289e-10
135.44,2.74544e-09,4.11717e-10
136.443,3.02411e-09,6.22414e-10
137.732,2.00145e-09,3.57436e-10
138.775,2.13724e-09,3.2405e-10
139.587,2.40377e-09,3.59347e-10
140.359,2.38177e-09,3.55397e-10
141.024,3.49207e-09,5.20782e-10
141.596,3.01823e-09,4.5001e-10
142.329,2.58521e-09,3.39483e-10
149.951,2.3183e-09,3.58988e-10
150.86,2.20136e-09,3.28162e-10
151.657,2.69863e-09,4.09979e-10
152.334,2.78001e-09,4.14424e-10
153.117,2.10843e-09,3.26492e-10
153.968,2.35001e-09,3.50325e-10
154.912,1.95194e-09,2.93182e-10
155.755,2.20587e-09,3.28842e-10
156.712,1.98278e-09,2.95589e-10
157.664,2.12336e-09,3.1655e-10
158.574,2.02372e-09,3.01706e-10
159.527,1.71593e-09,2.60711e-10
160.507,2.80787e-09,4.18632e-10
161.265,2.47118e-09,3.68441e-10
162.15,1.90289e-09,2.83727e-10
163.18,1.93997e-09,2.94799e-10
164.094,2.37683e-09,3.6119e-10
164.823,2.83337e-09,4.30585e-10
165.703,2.03401e-09,3.03336e-10
166.667,1.8576e-09,2.77028e-10
167.536,2.32547e-09,3.53459e-10
168.338,2.14051e-09,3.25392e-10
169.286,2.32396e-09,3.46662e-10
170.167,2.27703e-09,3.52826e-10
170.945,2.44089e-09,3.6411e-10
171.687,2.61684e-09,3.97794e-10
172.594,1.80745e-09,2.69641e-10
173.648,2.40595e-09,3.58986e-10
174.469,2.03767e-09,3.00714e-10
175.44,1.61925e-09,2.41662e-10
176.947,1.25557e-09,1.90966e-10
178.291,1.55979e-09,2.32801e-10
179.471,2.24883e-09,3.35663e-10
180.38,1.88691e-09,2.8706e-10
181.336,2.05782e-09,3.07216e-10
182.349,1.8239e-09,2.72347e-10
183.534,1.60563e-09,2.39742e-10
184.59,2.04963e-09,3.11923e-10
185.654,1.93829e-09,2.89472e-10
186.643,2.00157e-09,3.0464e-10
187.837,1.34522e-09,2.00922e-10
189.026,2.05514e-09,3.18744e-10
190.259,1.441e-09,2.19274e-10
191.493,1.64827e-09,2.4611e-10
192.567,2.03472e-09,3.03885e-10
193.583,1.82342e-09,2.82865e-10
194.633,1.72238e-09,2.62129e-10
195.872,1.55453e-09,2.32165e-10
197.13,1.5767e-09,2.35541e-10
198.374,1.69649e-09,2.53399e-10
199.526,1.59689e-09,2.38458e-10
200.782,1.49401e-09,2.23134e-10
202.122,1.64245e-09,2.4995e-10
203.3,1.70832e-09,2.6503e-10
204.49,1.60057e-09,2.43624e-10
205.691,1.38426e-09,2.10667e-10
207.059,1.5542e-09,2.36487e-10
208.334,1.94636e-09,2.96155e-10
209.372,1.9672e-09,2.93699e-10
210.494,1.89694e-09,2.88601e-10
211.573,1.4732e-09,2.19919e-10
213.002,1.58689e-09,2.36851e-10
214.266,1.61921e-09,2.41648e-10
215.52,1.48713e-09,2.26168e-10
216.682,1.58901e-09,2.37124e-10
218.069,1.63605e-09,2.44141e-10
219.003,1.90212e-09,2.83814e-10
220.252,1.35517e-09,2.06057e-10
221.479,1.77614e-09,2.65019e-10
222.755,1.53368e-09,2.28852e-10
223.856,2.25774e-09,3.36867e-10
225.055,1.35649e-09,2.02389e-10
226.463,1.49002e-09,2.22308e-10
227.675,1.6847e-09,2.61054e-10
228.706,1.89149e-09,2.87546e-10
229.943,1.71304e-09,2.5555e-10
231.158,1.25189e-09,1.93981e-10
232.559,1.88063e-09,2.80531e-10
233.708,1.6505e-09,2.46177e-10
235.185,1.0566e-09,1.60588e-10
236.911,1.4283e-09,2.17093e-10
238.399,1.31348e-09,1.99636e-10
239.774,1.39688e-09,2.08337e-10
241.114,1.57442e-09,2.34811e-10
242.47,1.46405e-09,2.22498e-10
243.715,1.68504e-09,2.51282e-10
245.219,1.31296e-09,1.99535e-10
246.9,1.03758e-09,1.63846e-10
248.459,1.33002e-09,2.02128e-10
249.502,1.93512e-09,2.88564e-10
250.748,1.3889e-09,2.07109e-10
252.257,1.17851e-09,1.79086e-10
253.705,1.68713e-09,2.51568e-10
254.929,1.36615e-09,2.03708e-10
256.447,1.36143e-09,2.02996e-10
257.823,1.487e-09,2.21719e-10
259.066,1.46895e-09,2.19035e-10
260.373,1.37922e-09,2.09586e-10
261.942,1.20616e-09,1.90447e-10
263.541,1.32761e-09,1.97954e-10
264.832,1.39536e-09,2.12041e-10
266.292,1.28841e-09,1.92118e-10
267.767,1.1665e-09,1.80673e-10
269.508,1.07525e-09,1.60328e-10
271.245,1.24463e-09,1.85581e-10
272.649,1.2871e-09,1.95575e-10
274.11,1.25114e-09,1.9011e-10
275.923,1.03435e-09,1.60199e-10
277.793,1.03969e-09,1.55019e-10
279.479,1.1815e-09,1.82984e-10
281.534,9.79539e-10,1.46049e-10
283.057,1.37399e-09,2.04863e-10
284.618,1.16208e-09,1.73272e-10
286.544,8.63815e-10,1.31258e-10
288.447,1.67605e-09,2.54683e-10
289.92,1.05726e-09,1.60661e-10
291.641,1.11535e-09,1.66316e-10
293.609,9.14341e-10,1.36339e-10
295.511,1.00165e-09,1.49355e-10
297.582,1.01919e-09,1.54867e-10
299.229,1.24086e-09,1.85021e-10
300.851,1.14928e-09,1.71363e-10
303.035,7.66346e-10,1.23375e-10
305.084,9.14137e-10,1.41588e-10
307.056,1.05693e-09,1.57599e-10
308.915,1.07619e-09,1.6353e-10
310.814,1.141e-09,1.70132e-10
312.54,9.65246e-10,1.43923e-10
314.615,8.33991e-10,1.24352e-10
316.82,9.96506e-10,1.51429e-10
318.787,9.34705e-10,1.39372e-10
320.848,8.97253e-10,1.36341e-10
323.069,8.80265e-10,1.31257e-10
325.164,1.03169e-09,1.53835e-10
327.36,7.36534e-10,1.09824e-10
329.737,9.24244e-10,1.37813e-10
331.952,8.41542e-10,1.27877e-10
334.135,8.84167e-10,1.31842e-10
336.385,8.36339e-10,1.27099e-10
338.772,7.8163e-10,1.16555e-10
341.127,8.13324e-10,1.23594e-10
343.652,8.21821e-10,1.29765e-10
346.413,5.94789e-10,9.39137e-11
348.737,9.2026e-10,1.37212e-10
350.81,9.33668e-10,1.39213e-10
353.083,7.95747e-10,1.23247e-10
355.429,8.79227e-10,1.33607e-10
358.185,6.00518e-10,8.9548e-11
361.175,6.90116e-10,1.17923e-10
363.539,7.9009e-10,1.24757e-10
366.073,6.35876e-10,9.66314e-11
369.512,4.91351e-10,7.46695e-11
373.039,5.95886e-10,9.40933e-11
376.234,6.76737e-10,1.0284e-10
379.296,6.36905e-10,9.86538e-11
382.509,5.3352e-10,7.95634e-11
385.825,5.30068e-10,8.05533e-11
388.998,7.28322e-10,1.08602e-10
391.836,6.05659e-10,9.38105e-11
395.28,5.53902e-10,8.41724e-11
398.661,5.61269e-10,8.36929e-11
401.778,6.99037e-10,1.04233e-10
405.075,5.16908e-10,7.70754e-11
408.369,6.27224e-10,9.9037e-11
411.991,4.77681e-10,7.12275e-11
415.885,4.73672e-10,7.47896e-11
419.531,5.07162e-10,7.70635e-11
423.462,5.1865e-10,7.73351e-11
427.323,4.67577e-10,6.97229e-11
431.33,4.49516e-10,7.09805e-11
435.09,4.97937e-10,7.86248e-11
439.792,2.29735e-10,4.5742e-11
444.469,3.63224e-10,6.63268e-11
448.626,4.28353e-10,6.50915e-11
452.581,3.64426e-10,6.84679e-11
456.184,4.60819e-10,7.13798e-11
460.506,2.9654e-10,5.41528e-11
464.394,3.54482e-10,6.65998e-11
468.108,3.33901e-10,5.99822e-11
472.117,2.93468e-10,5.5136e-11
475.973,3.72515e-10,6.69159e-11
480.193,4.44006e-10,6.74662e-11
484.436,3.52697e-10,6.62616e-11
487.587,3.21036e-10,6.03141e-11
492.022,4.45579e-10,6.64413e-11
496.229,3.32151e-10,6.06551e-11
500.412,3.43605e-10,6.27459e-11
503.959,4.72897e-10,7.18619e-11
507.953,3.18865e-10,5.99096e-11
511.964,3.52472e-10,6.43664e-11
515.562,3.42203e-10,6.24889e-11
519.68,2.27631e-10,4.15666e-11
526.271,2.20422e-10,4.0252e-11
3993.58,4.22467e-12,9.53724e-13
4233.97,3.50369e-12,9.12653e-13
4407.88,3.54005e-12,9.25762e-13
4637.23,2.8595e-12,7.46318e-13
4843.37,3.40121e-12,8.8683e-13
5053.06,5.53126e-12,1.24593e-12
5252.85,3.14655e-12,7.96829e-13
5893.61,1.89045e-12,3.79057e-13
9964.12,1.1912e-12,3.14111e-13
11314.6,1.00988e-12,2.0812e-13
16471,6.34564e-13,1.36584e-13
22883.8,4.7738e-13,1.27466e-13
74115.4,4.73073e-13,1.4476e-13
