t_s,flux,flux_err
77.3732,1.24468e-08,1.56083e-09
80.0459,7.58504e-09,9.63174e-10
87.0033,8.53429e-09,1.115e-09
87.67,9.05106e-09,1.15564e-09
88.4146,8.92251e-09,1.14854e-09
89.134,8.09181e-09,1.03118e-09
89.8298,1.04812e-08,1.35729e-09
90.4833,9.39017e-09,1.22018e-09
91.319,5.87369e-09,7.70128e-10
92.2098,7.16719e-09,9.11429e-10
93.0947,7.68178e-09,9.90504e-10
94.052,6.02694e-09,7.59944e-10
95.164,5.06572e-09,6.73818e-10
96.2905,6.42e-09,8.08907e-10
97.333,5.41216e-09,6.97364e-10
98.48,5.93458e-09,7.70614e-10
99.49,5.414e-09,7.38548e-10
100.8,5.77326e-09,7.97488e-10
101.8,5.80413e-09,7.91856e-10
102.859,6.06219e-09,8.16785e-10
103.947,5.86472e-09,7.86836e-10
105.134,5.48896e-09,7.44114e-10
106.136,6.03662e-09,7.97361e-10
107.197,6.43776e-09,8.17368e-10
108.327,5.51708e-09,7.11042e-10
109.516,4.89251e-09,6.37185e-10
110.606,5.90827e-09,7.35871e-10
111.2,5.59291e-09,6.86819e-10
111.791,3.52643e-09,5.25709e-10
112.443,4.50944e-09,5.6515e-10
113.104,4.3109e-09,5.69027e-10
113.792,4.47699e-09,5.6834e-10
114.495,4.31936e-09,5.41331e-10
115.239,4.52725e-09,5.53122e-10
115.859,5.98409e-09,7.24017e-10
116.44,4.42729e-09,5.4782e-10
117.07,4.08189e-09,6.08513e-10
117.569,4.17262e-09,6.15238e-10
118.208,2.94304e-09,4.38735e-10
118.851,3.71319e-09,5.53543e-10
119.481,4.5599e-09,5.78856e-10
120.175,4.48145e-09,5.47517e-10
120.769,3.9074e-09,6.16841e-10
121.319,4.13436e-09,6.14099e-10
121.936,4.60295e-09,5.84322e-10
122.512,4.20765e-09,6.01109e-10
123.062,3.50048e-09,5.21833e-10
123.662,3.85916e-09,5.86292e-10
124.211,5.36977e-09,6.5604e-10
124.798,3.95332e-09,5.76053e-10
125.45,4.95175e-09,6.20573e-10
126.006,4.14693e-09,6.182e-10
126.587,4.6849e-09,5.87129e-10
127.145,4.02086e-09,5.99405e-10
127.71,4.98013e-09,6.24124e-10
128.349,3.81462e-09,5.68659e-10
