t_s,flux,flux_err
132.17,7.67452e-10,1.16867e-10
135.339,5.34341e-10,7.9658e-11
139.267,5.97935e-10,7.1467e-11
149.74,6.17887e-10,9.41304e-11
153.669,4.29508e-10,6.40274e-11
157.893,4.4413e-10,7.07043e-11
161.944,4.2327e-10,6.59099e-11
165.608,3.37356e-10,6.80226e-11
169.597,3.08407e-10,6.21856e-11
173.121,4.91374e-10,7.4857e-11
176.798,3.47014e-10,6.99699e-11
180.154,3.65843e-10,6.67935e-11
183.777,4.44142e-10,6.76617e-11
187.825,4.94044e-10,7.36478e-11
191.295,3.62132e-10,7.0607e-11
194.737,5.97065e-10,9.09583e-11
197.973,3.81823e-10,6.454e-11
202.208,4.11859e-10,6.13965e-11
206.469,5.86587e-10,8.83435e-11
209.708,5.15245e-10,7.84936e-11
213.526,5.47537e-10,8.52603e-11
216.5,5.58853e-10,8.33091e-11
220.469,4.70906e-10,7.66598e-11
223.841,5.74578e-10,8.94709e-11
226.732,6.39505e-10,9.95811e-11
229.446,6.38817e-10,9.73189e-11
232.441,6.17934e-10,9.21163e-11
235.701,6.04112e-10,9.00558e-11
239.554,4.61888e-10,7.03651e-11
242.894,5.76331e-10,8.77996e-11
246.071,5.74703e-10,8.75516e-11
248.958,6.87892e-10,1.04795e-10
251.919,6.24845e-10,9.31465e-11
254.887,5.81536e-10,9.2579e-11
258.083,5.70333e-10,8.50204e-11
261.008,6.65303e-10,1.01354e-10
264.466,4.38754e-10,6.68408e-11
268.005,6.08893e-10,9.07686e-11
271.422,6.12292e-10,9.32781e-11
274.414,6.07838e-10,9.06113e-11
277.302,5.58016e-10,8.50094e-11
280.905,6.01035e-10,9.15631e-11
283.672,5.95569e-10,8.87823e-11
287.444,4.66848e-10,7.11208e-11
290.874,6.98073e-10,1.04063e-10
293.982,6.093e-10,9.08292e-11
296.555,3.62103e-10,7.06014e-11
300.661,3.97511e-10,6.18988e-11
304.495,5.54714e-10,8.2692e-11
307.794,6.11729e-10,9.11914e-11
311.358,3.79405e-10,6.81432e-11
314.956,4.5993e-10,7.16184e-11
318.995,3.82911e-10,5.83337e-11
323.435,3.55966e-10,6.49903e-11
327.265,4.31797e-10,6.43685e-11
331.201,3.35272e-10,6.32424e-11
335.434,4.35489e-10,6.63434e-11
339.521,3.30421e-10,6.23274e-11
343.019,3.71134e-10,6.18558e-11
347.172,2.90724e-10,5.30787e-11
350.95,3.39315e-10,6.19502e-11
355.04,3.51674e-10,5.96409e-11
359.922,2.84906e-10,5.55498e-11
363.706,3.08455e-10,5.8184e-11
368.025,3.60388e-10,5.6809e-11
374.271,2.11079e-10,3.98158e-11
380.339,1.67895e-10,3.27354e-11
385.774,3.08765e-10,5.63727e-11
389.721,2.95522e-10,5.39547e-11
393.797,2.73554e-10,4.99439e-11
398.807,2.60378e-10,4.75383e-11
403.238,2.91204e-10,5.67778e-11
408.684,2.32973e-10,4.25349e-11
413.313,2.50871e-10,4.73219e-11
418.403,2.28463e-10,4.93461e-11
423.026,2.2786e-10,4.44272e-11
427.908,2.79442e-10,5.27112e-11
470.848,1.66686e-10,2.73082e-11
5066.82,6.34298e-13,1.61132e-13
27561.5,4.67236e-13,1.2395e-13
